"city","year","weekofyear","ndvi_ne","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","total_cases"
"sj",1990,43,0.1462,0.08975,0.1926,0.1239286,127.03,298.9028571,299.0428571,296.2285714,300.9,297.2,40.7,85.50285714,127.03,17.75,1.8,299.7714286,280.6285714,305.2,294.7,91.5,"37"
"sj",1990,44,0.25225,0.1834333,0.318,0.2959,101.33,299.7271429,299.7785714,296.5342857,301.4,298.5,21.9,82.78714286,101.35,18.03428571,1.785714286,300.9714286,281.6428571,306.3,295.7,6.3,"57"
"sj",1990,45,0.1526,0.181775,0.1783286,0.1866286,23.78,299.9728571,300.0357143,296.5642857,302.3,298.5,14.4,81.71571429,20.46,18.07428571,2.385714286,301.4714286,281.4285714,306.3,296.9,6.6,"71"
"sj",1990,46,0.2908,0.1881857,0.1803857,0.2348857,20,300.35,300.5,295.6871429,302.3,298.8,7.1,75.72857143,20,17.08571429,2.2,301.1,281.6,305.8,295.2,38.9,"44"
"sj",1990,47,0.2722,0.33035,0.1316333,0.1253833,20.04,299.5114286,299.6785714,295.3757143,301.6,297,36.7,79.27285714,20.04,16.75285714,2.528571429,299.8,280.4142857,304.7,295.2,9.6,"56"
"sj",1990,48,0.1367667,0.08222857,0.1767857,0.1415857,33.61,298.2385714,298.2642857,294.8114286,300.2,296.5,44.3,81.38571429,33.61,16.20857143,1.985714286,299.2,280.1285714,304.1,295.2,26.7,"53"
"sj",1990,49,0.1098,0.0886,0.2667833,0.2517,9.96,298.5428571,298.6857143,294.7828571,300.8,296.7,71.8,79.37285714,9.96,16.16142857,2.057142857,298.9857143,278.5428571,302.4,295.2,69,"52"
"sj",1990,50,0.12135,0.26166,0.1913857,0.2099857,0,298.2028571,298.2785714,292.0042857,300.6,296.1,4.1,68.72285714,0,13.61571429,2.985714286,297.6857143,280.7714286,302.4,292.4,2.8,"47"
"sj",1990,51,0.2931333,0.2668667,0.2608571,0.3027286,52.45,298.2971429,298.3785714,294.5585714,300.9,296,32.31,80.08285714,52.45,15.95428571,2.871428571,298.6571429,279.5857143,303.6,294.1,19.8,"26"
"sj",1990,52,0.3025,0.2772333,0.1712667,0.1616222,3.99,298.2171429,298.0857143,292.1057143,299.8,295.3,5.46,69.68142857,0,13.68285714,2.285714286,298.1571429,278.8428571,301.9,294.1,20.9,"27"
"sj",1991,1,0.1465,0.1404667,0.1515,0.1673143,0,297.4042857,297.1357143,291.9071429,299,293.9,4.8,72.93857143,0,13.51142857,2.528571429,297.3857143,279.9857143,302.4,291.9,24.6,"21"
"sj",1991,2,0.11045,0.1004667,0.2519,0.1376167,15.85,297.6742857,297.8285714,293.2828571,299.3,295.8,4,76.62857143,15.85,14.67142857,1.885714286,297.9142857,279.3142857,301.3,294.1,31.7,"21"
"sj",1991,3,0.2407571,0.2239,0.2599429,0.2179,0,297.4228571,297.6571429,293.4128571,299.3,296.1,27.4,78.5,0,14.79857143,2,298.2428571,279.5714286,302.4,294.1,16.5,"26"
"sj",1991,4,0.2201167,0.3093333,0.2210286,0.2027571,0,297.8842857,298.1357143,292.3828571,299,296,0.7,71.59714286,0,13.87857143,2,297.7142857,280.7714286,302.4,291.3,6.8,"34"
"sj",1991,5,0.0917,0.246425,0.2438571,0.1956,0,298.0442857,298.2285714,292.5728571,300.1,295,5.7,71.78428571,0,14.04428571,2.771428571,297.8285714,281.1571429,303,291.9,5.9,"37"
"sj",1991,6,0.3801,0.2284143,0.31445,0.2258,0,297.74,297.9285714,293.15,299.7,295,19.69,75.79428571,0,14.54142857,2.428571429,298.0571429,279.8857143,303,293.6,7.3,"17"
"sj",1991,7,0.0712,0.2211,0.2762429,0.1908857,18.05,296.8842857,297.2357143,292.9728571,300.2,294.1,21.4,78.89571429,18.05,14.46,3.2,298.1428571,281.8714286,305.2,291.9,5.6,"19"
"sj",1991,8,0.1016,0.4371,0.1084333,0.1194,0,297.4142857,297.6142857,293.6314286,300.1,295.8,26.2,79.74,0,14.79428571,2.571428571,298.8428571,281.4714286,305.2,293,17.8,"25"
"sj",1991,9,0.1702,0.0781,0.13752,0.1914333,31.79,297.5057143,297.8285714,293.4071429,299.8,295.8,23.8,77.97714286,31.79,14.79428571,2.114285714,298.2571429,280.2,303.6,293,30.7,"18"
"sj",1991,10,0.21075,0.2641,0.2476857,0.2163571,0,297.7771429,298.0785714,293.5314286,300.3,295.6,8.3,77.31571429,0,14.92,2.242857143,299.0142857,281.3142857,304.1,293.6,10.9,"21"
"sj",1991,11,0.1525167,0.1452333,0.21325,0.2405429,0,297.4314286,297.6357143,293.3357143,300.1,295.7,13.37,78.13857143,0,14.78714286,2.728571429,298.9285714,281.9714286,304.7,293.6,3.6,"17"
"sj",1991,12,0.1279,0.1784,0.1470143,0.1593,0,297.4071429,297.2571429,293.2542857,299.8,295.3,11.1,77.88285714,0,14.74571429,2.542857143,298.7428571,279.9714286,305.2,294.1,5.7,"17"
"sj",1991,13,0.28035,0.223575,0.2478833,0.2473857,0,297.47,297.6928571,293.74,301,295.7,21.26,80.00142857,0,15.14857143,2.757142857,299.0571429,279.5285714,305.2,295.2,26.9,"16"
"sj",1991,14,0.1691,0.08642857,0.2791,0.2219714,12.92,297.0642857,297.1857143,292.48,299.4,295.4,20.9,75.66285714,12.92,13.99142857,2.285714286,298.2428571,279.8142857,301.9,293.6,4.1,"16"
"sj",1991,15,0.1765,0.2763,0.1845333,0.1773667,6,297.3728571,297.6571429,293.6157143,299.2,295.9,19.78,79.62857143,6,14.99285714,2.628571429,298.3,279.5142857,302.4,294,8.2,"15"
"sj",1991,16,0.0774,0.1024,0.16355,0.2061667,44.57,297.2842857,297.3928571,292.17,298.9,296,21.9,73.35142857,44.57,13.73285714,2.014285714,298.5142857,279.2714286,302.4,294.1,19.4,"23"
"sj",1991,17,0.3371,0.18845,0.1883143,0.2249429,32.72,298.0742857,298.2357143,294.0285714,301.1,296.7,19.7,78.44714286,32.72,15.46142857,2.3,299.5285714,281.0142857,305.8,294.7,3.5,"16"
"sj",1991,18,0.2091667,0.160575,0.1761714,0.1761714,0,298.8314286,299.0714286,294.97,301,297.1,8.38,79.36,0,16.31428571,2.8,300.3142857,280.7142857,305.2,295.8,2.8,"17"
"sj",1991,19,0.07713333,0.180175,0.1063857,0.1111857,35.38,298.6385714,298.7214286,294.8128571,300.9,297.2,20.6,79.54142857,33.82,16.18571429,2.414285714,299.9285714,279.9285714,304.7,295.8,40.2,"12"
"sj",1991,20,0.0954,0.1034,0.15115,0.0964,4.16,298.3257143,298.4071429,294.6185714,300.1,296.6,35.37,80.06714286,4.16,15.97428571,2.5,299.5285714,279.5857143,303.6,295.8,32.8,"17"
"sj",1991,21,0.0669,0.1335667,0.09711667,0.1356,51.16,298.5842857,298.4571429,295.0328571,300.4,297,59.3,81.30142857,51.16,16.23714286,1.857142857,300.3857143,279.7,304.7,295.8,26.7,"10"
"sj",1991,22,0.1401,0.1594667,0.2143167,0.2571,55.37,298.8085714,298.8857143,295.2742857,301.1,297,43.4,81.08857143,55.37,16.44,2.628571429,300.9428571,280.0142857,306.3,296.3,5.6,"15"
"sj",1991,23,0.08585,0.087,0.1196,0.1659286,8.08,299.5185714,299.75,294.9257143,300.9,297.4,3.1,76.07428571,8.08,16.32428571,2.871428571,301.0714286,280.5,305.8,296.3,20.6,"19"
"sj",1991,24,0.1091,0.1564667,0.1734286,0.1097667,6.09,299.8914286,300.0714286,295.4928571,302.1,298.4,5.82,76.26142857,6.09,16.88285714,2.4,301.2285714,280.9714286,306.9,296.9,9.4,"21"
"sj",1991,25,0.0596,0.09235,0.1301286,0.1306429,44.25,299.7757143,299.9714286,296.3,301.9,298.4,17,81.42142857,44.25,17.70428571,2.171428571,301.9285714,280.1428571,306.9,298,3.3,"14"
"sj",1991,26,0.07965,0.122,0.1851143,0.1467571,73.76,299.41,299.4785714,296.2285714,302.5,297.7,37.8,82.74571429,73.76,17.62857143,2.042857143,300.9142857,280.4,305.8,295.8,12.4,"18"
"sj",1991,27,0.29455,0.1779333,0.2015286,0.1981571,26.7,299.3714286,299.3857143,295.9457143,302.4,297.5,51.99,81.69428571,26.7,17.35285714,2.142857143,300.7,279.6,305.8,296.9,24.7,"13"
"sj",1991,28,0.0969,0.093,0.13805,0.1679167,6.13,300.0014286,300.1714286,295.7914286,302.1,297.9,18.7,77.87714286,6.13,17.15142857,2.428571429,300.7333333,279.6714286,305.8,297.4,4.6,"14"
"sj",1991,29,0.0479,0.07733333,0.09982857,0.1166429,29.67,300.2342857,300.3428571,296.0814286,302,298.6,23.6,78.24142857,29.67,17.47285714,2.428571429,301.8,279.9142857,306.9,296.9,12.2,"18"
"sj",1991,30,0.0801,0.00805,0.1380333,0.1290667,56.58,299.8085714,299.9785714,296.3328571,302.1,298.2,27.4,81.48285714,56.58,17.73428571,2.242857143,301,279.3428571,305.8,297.4,43.1,"23"
"sj",1991,31,0.2016857,0.2622,0.1906429,0.1593286,48.41,299.8528571,299.9642857,296.4785714,302,298.3,34.39,81.89714286,47.16,17.82285714,2.3,301.5714286,279.3428571,306.3,298,18,"25"
"sj",1991,32,0.07315,0.073575,0.1925857,0.2093571,13.29,299.8314286,299.9,296.4685714,301.8,298.1,31.5,81.96,13.29,17.89571429,2.242857143,301.5,279.5142857,305.8,297.4,12.5,"62"
"sj",1991,33,0.0593,0.1280333,0.1551,0.1567,0,300.42,300.65,296.4842857,302.8,298.7,20.4,79.19714286,0,17.91142857,2.185714286,302.4285714,278.4714286,306.3,298.6,3.3,"33"
"sj",1991,34,0.0569,0.09814,0.1285143,0.1437286,51.88,300.3114286,300.3857143,296.5814286,302.6,298.3,25.47,79.99857143,51.88,18.01142857,2.4,302.2714286,280.5142857,306.9,297.4,1.5,"76"
"sj",1991,35,0.0693,0.05705,0.22504,0.1225333,55.2,300.1171429,300.2,296.67,302.3,298.6,23.8,81.59428571,55.2,18.09142857,2.371428571,301.1571429,280,305.2,296.9,10.7,"66"
"sj",1991,36,0.10805,0.091675,0.1398,0.1624143,65.9,300.1057143,300.15,296.7985714,302.3,298.2,42.33,82.31,65.9,18.26285714,2.128571429,301.9428571,280.5428571,307.4,297.4,27.2,"64"
"sj",1991,37,0.10475,0.1598333,0.11208,0.09898571,0,300.54,300.6357143,296.2671429,302.8,298.7,11.4,78.62714286,0,17.89571429,3.042857143,301.9714286,280.7,307,297.4,61,"68"
"sj",1991,38,0.1098,0.1422,0.1685714,0.1688714,29.53,300.5271429,300.6,296.9014286,303,298.8,28.8,80.87714286,29.53,18.4,2.457142857,301.9142857,279.8,306.3,297.4,7.9,"89"
"sj",1991,39,0.1676,0.1489,0.2058429,0.2181429,73.55,300.06,300.05,296.59,302.4,298.2,77.5,81.42428571,73.55,18.04428571,2.071428571,301.1428571,279.6857143,305.8,297.4,31.8,"92"
"sj",1991,40,0.1291,0.16672,0.177,0.1955571,31.68,299.65,299.6928571,296.5442857,301.6,298.3,60,82.48571429,31.68,17.85,2.042857143,300.7428571,279.9142857,305.8,296.3,26.5,"140"
"sj",1991,41,0.093,0.093,0.1450833,0.1681667,32.1,299.5471429,299.8357143,295.8871429,302,297.6,55.1,80.51571429,32.1,17.34428571,2.257142857,300.6571429,279.6142857,304.7,295.8,8.3,"74"
"sj",1991,42,0.0137,0.12886,0.1090429,0.1070286,55.2,299.8971429,299.9214286,296.0185714,302,298.1,31.19,79.38285714,55.76,17.48714286,2.3,301.5428571,280.6285714,306.9,297.4,21.3,"142"
"sj",1991,43,0.1944,0.1186,0.1808143,0.1998714,50.24,299.8914286,299.9928571,295.4557143,302,298,8.9,76.95285714,50.24,16.85,2.814285714,300.5571429,280.0857143,305.8,296.3,0,"129"
"sj",1991,44,0.094,0.09665,0.1255667,0.1213167,72.61,299.9057143,299.9928571,295.9185714,302.4,298.1,26.83,78.98714286,72.61,17.37571429,3.042857143,301.8,280.2571429,305.8,297.4,4.8,"140"
"sj",1991,45,0.0544,0.05475,0.1121333,0.1193857,42.92,299.09,299.2785714,295.5671429,302.6,297.3,74.83,81.05857143,42.92,16.96714286,2.9,300.1857143,279.7571429,305.2,295.8,41.4,"1"
"sj",1991,46,0.0954,0.1114,0.1949429,0.1980571,78.73,298.6857143,298.7857143,295.8714286,301,297.6,72.7,83.51428571,78.73,17.11714286,1.971428571,299.6571429,279.7428571,304.1,295.2,93.9,"127"
"sj",1991,47,0.00825,0.028425,0.1387429,0.1796429,0,298.6985714,298.7071429,294.03,300.8,297.1,15.1,75.54857143,0,15.46,2.271428571,299.3142857,279.8142857,303,295.2,9.4,"129"
"sj",1991,48,0.08786667,0.1519,0.1796286,0.1661857,35.34,298.3757143,298.5,294.9385714,301.1,296.9,22.24,81.48571429,35.34,16.43714286,2.028571429,299.2714286,279.3285714,304.1,294.5,76.2,"169"
"sj",1991,49,-0.0273,0.14025,0.1336286,0.1345143,3.48,298.6428571,298.8428571,294.9742857,300.5,297.7,35.1,80.27571429,0,16.34,1.8,299.7285714,279.0571429,303.6,296.3,19.6,"141"
"sj",1991,50,-0.02665,0.2128,0.2224143,0.1739286,0,298.5185714,298.5928571,294.5671429,300.2,297.3,26.8,78.62142857,0,15.88428571,2.014285714,298.6142857,278.8571429,302.4,294.7,34.2,"108"
"sj",1991,51,0.1083,0.04613333,0.1144,0.04045714,0,298.0128571,298.1357143,292.8657143,299.7,296.6,8.76,72.86142857,0,14.33571429,2.071428571,297.9285714,279.1571429,301.9,293.6,6.1,"78"
"sj",1991,52,0.12355,0.1446667,0.1379333,0.1297556,0,296.7242857,296.5071429,292.0457143,299.4,294.3,19.3,76.12714286,0,13.63571429,2.214285714,297.3571429,279.1857143,301.3,292.4,13.7,"70"
"sj",1992,1,0.1251,0.086,0.1846714,0.1813667,87.18,300.2628571,300.4142857,296.5814286,304.4,297.9,41.1,80.64714286,83.11,17.97714286,3.728571429,301.1,280.3714286,305.7,296.3,46.4,"81"
"sj",1992,2,0.1008333,0.073575,0.1387143,0.1127857,200.85,297.9128571,298.1214286,294.4571429,300.4,296.1,18.3,81.3,200.85,15.87857143,2.3,298.6571429,280.5,303.6,293.6,58.2,"104"
"sj",1992,3,0.2224,0.2299,0.1984571,0.1994143,3.12,297.3385714,297.5714286,294.4671429,300.2,295.6,19.8,84.11714286,3.12,15.83285714,1.857142857,298.4714286,279.1714286,304.1,294.7,32.3,"90"
"sj",1992,4,0.1225333,0.13105,0.1888429,0.1688714,0,297.0914286,297.3357143,293.0214286,299.5,295.6,5.11,78.29142857,0,14.48285714,2.357142857,297.8571429,280.8857143,303.6,293,1.3,"85"
"sj",1992,5,0.0529,0.0483,0.2545667,0.1919286,0,297.42,297.3357143,292.7185714,299.3,295.5,6.5,75.22,0,14.18571429,2.442857143,297.9571429,279.5857143,301.9,293,9.2,"55"
"sj",1992,6,0.1016,0.0846,0.1117167,0.1004429,0,296.92,297.1285714,292.6171429,300.7,294.5,16.2,77.05857143,0,14.12285714,3.4,297.7142857,280.3571429,303.6,293,3,"53"
"sj",1992,7,0.1121,0.1305,0.1957429,0.1788571,97.28,297.7985714,298.0571429,294.65,300.2,295.3,20.1,82.87571429,99.89,16.06,2.2,298.6142857,279.5714286,305.2,293,1.3,"65"
"sj",1992,8,0.1676,0.1844667,0.1946143,0.2030571,33.94,297.8985714,298.1071429,293.6285714,300.1,296.3,4.4,77.29571429,34.9,15.01285714,2.585714286,298.7571429,280.3857143,306.9,294.7,13.4,"33"
"sj",1992,9,0.10705,0.0815,0.1652429,0.1630571,44.38,297.4728571,297.6785714,292.9671429,299.3,295.9,14.4,76.03714286,43.95,14.26142857,2.414285714,298.2857143,279.1714286,302.4,294.7,16,"38"
"sj",1992,10,0.16435,0.18218,0.1910857,0.1928571,0,297.6514286,297.8,293.3171429,299.8,295.7,5.5,76.58142857,1.22,14.70142857,2.314285714,298.6571429,280.8142857,304.1,293.6,2.9,"59"
"sj",1992,11,0.08685,0.09015,0.128,0.1551,23.22,297.6342857,297.7857143,293.54,299.6,296.1,12.6,78.05714286,23.22,14.94428571,2.585714286,298.7857143,280.7571429,304.7,294.7,5.9,"40"
"sj",1992,12,0.05305,0.08405,0.1417714,0.1345143,0,297.9471429,298.15,293.7085714,300.4,296.5,13.37,77.50571429,0,15.13571429,2.7,299.1,280.3857143,304.1,294.7,4.8,"37"
"sj",1992,13,0.00305,0.1621333,0.1348429,0.1068,0,297.2185714,297.4285714,293.5785714,300.3,295.8,21,80.64714286,0,14.96857143,2.8,299.2714286,278.7142857,305.2,295.2,2.3,"29"
"sj",1992,14,0.09995,0.07765,0.1930667,0.1769,124.8,297.9828571,298.0714286,293.8842857,300.2,296,16.2,78.06714286,122.27,15.26428571,2.742857143,299.2285714,279.7142857,304.1,294.7,24.1,"30"
"sj",1992,15,0.1039,0.1315,0.1224714,0.1243857,43.21,298.7914286,298.8785714,294.1957143,301.6,296.6,11.1,76.37571429,43.21,15.61285714,3.614285714,299.9857143,280.8428571,305.8,295.4,0,"30"
"sj",1992,16,0.07515,0.09743333,0.1590286,0.1729857,83.11,297.8314286,298,294.9428571,300.4,296.6,70.6,84.18428571,83.11,16.32428571,2.142857143,299.8142857,278.8857143,304.7,295.8,24.5,"28"
"sj",1992,17,0.123975,0.1137,0.1514143,0.1548286,36.16,298.0885714,298.2571429,294.0485714,300.6,296.5,5.8,78.42571429,36.16,15.45285714,2.828571429,299.6714286,280.2428571,304.7,294.9,4.6,"22"
"sj",1992,18,0.0125,0.0033,0.07031429,0.08944286,0,298.1971429,298.1357143,293.4,302.1,295.6,4,75.08285714,0,14.9,3.614285714,300.3714286,279.5,306.9,296.3,1.6,"24"
"sj",1992,19,0.10875,0.2169,0.1823286,0.2073571,13.92,298.3357143,298.4428571,294.2214286,302.1,296,45,78.48,13.92,15.75,3,299.7857143,279.9142857,306.9,295.2,32,"29"
"sj",1992,20,0.101875,-0.0088,0.1566143,0.1259,2.94,298.3342857,298.5142857,294.2757143,300.4,296.4,27.5,78.38142857,2.94,15.68714286,2.228571429,300.4428571,278.9571429,304.1,295.8,8.1,"26"
"sj",1992,21,0.1024,0.0686,0.06238333,0.0574,71.85,298.4085714,298.5571429,295.9071429,301,296.8,570.5,85.64714286,71.85,17.23285714,1.642857143,300.8571429,279.7714286,305.8,296.3,22.1,"23"
"sj",1992,22,0.1215,0.2075,0.2191571,0.2130143,173.45,298.6157143,298.75,296.4857143,301.4,297,91.33,87.30142857,186.25,17.83285714,2.357142857,300.4285714,278.9571429,304.7,296.9,80.2,"20"
"sj",1992,23,0.12165,0.13995,0.1100857,0.1022286,42.24,299.1042857,299.2285714,296.5228571,301,297.8,50,85.82714286,42.24,17.99571429,2.114285714,300.5,279.9142857,304.7,295.8,103.9,"19"
"sj",1992,24,0.08395,0.0856,0.1023714,0.1117714,43.21,298.9014286,298.9642857,296.1542857,300.5,297.6,43.8,84.20285714,43.21,17.57,2.028571429,301.2,279.8714286,305.8,297.4,102.4,"20"
"sj",1992,25,0.10445,0.15315,0.1811571,0.1920857,52.07,298.8271429,298.9571429,296.0428571,301.4,297,37.1,84.24857143,52.07,17.46714286,2,301.2857143,279.7428571,305.8,297.4,29.8,"26"
"sj",1992,26,0.1302,0.1302,0.13938,0.11475,52.96,299.5685714,299.6642857,296.25,301.8,298,33.7,82.77714286,52.96,17.80714286,1.728571429,301.4857143,280.0285714,305.2,296.9,5.4,"29"
"sj",1992,27,0.1194,0.1439,0.1693286,0.1684714,10.74,300.1771429,300.3785714,296.2671429,301.8,298.3,34.4,79.65,10.74,17.66714286,2.271428571,302.2285714,279.6428571,306.3,298.6,3.1,"31"
"sj",1992,28,0.0627,0.192,0.1468571,0.1764,1.86,300.2857143,300.5642857,296.1985714,302.2,298.5,5.4,78.49714286,0,17.48714286,2.785714286,301.7285714,279.6142857,305.8,297.4,1.8,"28"
"sj",1992,29,0.112,0.1255,0.2009429,0.1825333,94.14,299.79,299.8285714,296.0528571,301.8,298,46.1,80.15,94.14,17.43,2,300.6285714,279.0428571,304.7,296.9,45.2,"26"
"sj",1992,30,0.05175,0.1474,0.12684,0.1288714,33.51,299.2271429,299.1642857,295.94,301.1,298,69.04,81.98428571,33.51,17.24857143,2.028571429,300.5571429,279.8571429,304.7,296.3,13.5,"32"
"sj",1992,31,0.0539,0.1261333,0.1337714,0.1499143,31.12,299.0257143,299.1071429,295.7457143,300.8,297.7,58.8,82.34571429,31.12,17.30857143,1.814285714,300.9714286,279.9285714,305.2,295.8,14.2,"61"
"sj",1992,32,0.152675,0.173275,0.1500429,0.1450571,51.29,299.7557143,299.9142857,296.1585714,301.5,297.6,27.1,80.64714286,54.22,17.54714286,2.428571429,301.0714286,279.5428571,304.7,296.3,16.6,"33"
"sj",1992,33,0.16395,0.12665,0.2150571,0.2192714,65.55,299.2157143,299.3285714,296.0071429,301.3,297.8,81.8,82.75,65.55,17.41571429,1.957142857,301,280.5571429,304.7,295.8,41.9,"30"
"sj",1992,34,0.1146,0.1368,0.1855857,0.1925714,68.22,299.4914286,299.7357143,296.2142857,301.9,298.3,61.6,82.31714286,68.22,17.60142857,2.242857143,301.2142857,279.9285714,304.7,297.4,42.7,"52"
